DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20190312,38.0000,38.0000,38.0000,38.0000,10000,0
20190313,39.0000,39.9000,38.7000,39.7500,20477364,0
20190314,39.7500,41.4000,39.7500,40.6500,6248563,0
20190315,41.3800,41.8700,41.2400,41.7000,7107258,0
20190318,41.9500,41.9500,41.0500,41.7000,4020942,0
20190319,41.5500,41.7000,39.8400,40.3400,10118472,0
20190320,40.4900,40.8100,38.2400,38.6200,15683238,0
20190321,39.0000,40.0700,38.7500,40.0200,12751732,0
20190322,39.9300,39.9900,37.6900,38.7200,10897994,0
20190325,38.8900,38.9600,37.3900,37.4400,9338926,0
20190326,37.6500,38.2800,37.5100,37.5400,6287100,0
20190327,37.5200,37.9100,36.7600,36.9200,5578118,0
20190328,36.8500,37.1500,36.3400,36.4000,5326238,0
20190329,36.5500,36.9100,36.1500,36.7100,5895347,0
20190401,36.9100,37.1500,36.7100,36.8500,5311201,0
20190402,36.9600,37.1800,35.9000,36.2800,6704831,0
20190403,36.3700,36.5600,35.9000,36.0800,8393708,0
20190404,36.2000,36.8000,36.0100,36.7600,4908406,0
20190405,36.7900,37.8500,36.6900,37.6800,7344894,0
20190408,37.6000,37.6800,37.2650,37.4700,3393260,0
20190409,37.4200,37.6500,37.1700,37.3100,5725894,0
20190410,37.3300,37.5300,36.3600,36.4800,4828362,0
20190411,36.5700,37.1600,35.9900,37.0900,4791432,0
20190412,37.1500,37.6200,36.4700,37.5300,6368477,0
20190415,37.4600,37.5700,36.9900,37.5300,3927062,0
20190416,37.6700,37.8500,37.4700,37.7500,5721982,0
20190417,37.8700,38.8500,37.7600,38.8400,7603795,0
20190418,38.9100,39.0000,38.4300,38.4400,4737418,0
20190422,38.3600,38.4400,37.6200,37.7000,7675316,0
20190423,37.7900,38.3900,37.6300,38.0800,6328827,0
20190424,37.9500,38.3100,37.8050,37.9600,5323550,0
20190425,37.9800,38.2000,37.5400,38.1500,5309675,0
20190426,38.0800,38.5300,37.9000,38.4800,5297417,0
20190429,38.5400,39.5250,38.3100,39.2000,6885177,0
20190430,39.1900,39.3300,38.4700,38.9900,5044352,0
20190501,39.1200,39.4900,38.6600,39.4000,5149829,0
20190502,39.2300,39.4700,37.0800,37.2800,11495855,0
20190503,37.4100,37.7500,37.1200,37.4700,4809763,0
20190506,37.1700,37.9900,36.9600,37.9200,4801609,0
20190507,37.5800,37.8100,37.1200,37.2600,6053297,0
20190508,37.3400,37.7000,36.8550,37.4200,8635285,0
20190509,38.5000,39.2500,37.5100,38.5000,15210152,0
20190510,38.6400,38.7500,37.4400,38.5300,6742528,0
20190513,37.7700,38.6800,37.7300,37.9700,5604035,0
20190514,38.0500,38.5200,37.8723,37.8900,6198619,0
20190515,37.7000,37.9700,37.5700,37.7100,2975433,0
20190516,37.9100,38.0800,36.7000,36.7400,8705008,0
20190517,36.5600,37.5900,36.5500,37.3200,5507954,0
20190520,37.1800,37.6400,37.0000,37.1400,3670004,0
20190521,37.2600,38.0000,37.1000,37.6900,4668608,0
20190522,37.6600,37.7600,37.0550,37.1200,3431178,0
20190523,36.8200,37.0800,36.6300,36.9100,4431862,0
20190524,37.0500,37.2050,36.8500,36.9200,2878988,0
20190528,36.9700,37.3400,36.5050,36.6400,4380381,0
20190529,36.5000,36.6500,35.7900,35.7900,3691294,0
20190530,35.8800,36.1550,35.1500,35.2200,4730387,0
20190531,34.9700,35.2700,34.7000,35.2300,6706125,0
